stage,individual,location,observer,repmeas,thickness
one,356,B,P,1,196.000
one,356,B,P,2,187.000
one,356,B,P,3,185.000
one,356,B,S,1,190.000
one,356,B,S,2,192.000
one,356,B,S,3,190.000
one,356,E,P,1,207.000
one,356,E,P,2,218.000
one,356,E,P,3,214.000
one,356,E,S,1,204.000
one,356,E,S,2,209.000
one,356,E,S,3,210.000
one,356,P,P,1,219.000
one,356,P,P,2,215.000
one,356,P,P,3,207.000
one,356,P,S,1,214.000
one,356,P,S,2,205.000
one,356,P,S,3,209.000
one,359,B,P,1,190.000
one,359,B,P,2,191.000
one,359,B,P,3,188.000
one,359,B,S,1,192.000
one,359,B,S,2,198.000
one,359,B,S,3,203.000
one,359,E,P,1,219.000
one,359,E,P,2,225.000
one,359,E,P,3,220.000
one,359,E,S,1,224.000
one,359,E,S,2,227.000
one,359,E,S,3,221.000
one,359,P,P,1,232.000
one,359,P,P,2,230.000
one,359,P,P,3,238.000
one,359,P,S,1,229.000
one,359,P,S,2,232.000
one,359,P,S,3,225.000
one,362,B,P,1,202.000
one,362,B,P,2,195.000
one,362,B,P,3,197.000
one,362,B,S,1,191.000
one,362,B,S,2,200.000
one,362,B,S,3,207.000
one,362,E,P,1,239.000
one,362,E,P,2,246.000
one,362,E,P,3,238.000
one,362,E,S,1,240.000
one,362,E,S,2,233.000
one,362,E,S,3,234.000
one,362,P,P,1,238.000
one,362,P,P,2,239.000
one,362,P,P,3,242.000
one,362,P,S,1,243.000
one,362,P,S,2,241.000
one,362,P,S,3,248.000
one,363,B,P,1,203.000
one,363,B,P,2,200.000
one,363,B,P,3,210.000
one,363,B,S,1,199.000
one,363,B,S,2,201.000
one,363,B,S,3,210.000
one,363,E,P,1,227.000
one,363,E,P,2,225.000
one,363,E,P,3,233.000
one,363,E,S,1,231.000
one,363,E,S,2,235.000
one,363,E,S,3,224.000
one,363,P,P,1,241.000
one,363,P,P,2,252.000
one,363,P,P,3,242.000
one,363,P,S,1,253.000
one,363,P,S,2,257.000
one,363,P,S,3,244.000
one,364,B,P,1,183.000
one,364,B,P,2,178.000
one,364,B,P,3,176.000
one,364,B,S,1,175.000
one,364,B,S,2,178.000
one,364,B,S,3,180.000
one,364,E,P,1,191.000
one,364,E,P,2,199.000
one,364,E,P,3,201.000
one,364,E,S,1,193.000
one,364,E,S,2,191.000
one,364,E,S,3,192.000
one,364,P,P,1,209.000
one,364,P,P,2,212.000
one,364,P,P,3,217.000
one,364,P,S,1,218.000
one,364,P,S,2,212.000
one,364,P,S,3,209.000
one,365,B,P,1,202.000
one,365,B,P,2,203.000
one,365,B,P,3,208.000
one,365,B,S,1,203.000
one,365,B,S,2,202.000
one,365,B,S,3,206.000
one,365,E,P,1,213.000
one,365,E,P,2,215.000
one,365,E,P,3,219.000
one,365,E,S,1,219.000
one,365,E,S,2,221.000
one,365,E,S,3,215.000
one,365,P,P,1,224.000
one,365,P,P,2,233.000
one,365,P,P,3,233.000
one,365,P,S,1,220.000
one,365,P,S,2,227.000
one,365,P,S,3,231.000
one,366,B,P,1,178.000
one,366,B,P,2,182.000
one,366,B,P,3,183.000
one,366,B,S,1,191.000
one,366,B,S,2,197.000
one,366,B,S,3,183.000
one,366,E,P,1,226.000
one,366,E,P,2,218.000
one,366,E,P,3,240.000
one,366,E,S,1,231.000
one,366,E,S,2,234.000
one,366,E,S,3,239.000
one,366,P,P,1,277.000
one,366,P,P,2,272.000
one,366,P,P,3,271.000
one,366,P,S,1,272.000
one,366,P,S,2,276.000
one,366,P,S,3,281.000
one,367,B,P,1,204.000
one,367,B,P,2,201.000
one,367,B,P,3,198.000
one,367,B,S,1,211.000
one,367,B,S,2,201.000
one,367,B,S,3,204.000
one,367,E,P,1,220.000
one,367,E,P,2,213.000
one,367,E,P,3,219.000
one,367,E,S,1,212.000
one,367,E,S,2,213.000
one,367,E,S,3,218.000
one,367,P,P,1,211.000
one,367,P,P,2,206.000
one,367,P,P,3,216.000
one,367,P,S,1,195.000
one,367,P,S,2,200.000
one,367,P,S,3,206.000
one,368,B,P,1,204.000
one,368,B,P,2,202.000
one,368,B,P,3,202.000
one,368,B,S,1,198.000
one,368,B,S,2,203.000
one,368,B,S,3,206.000
one,368,E,P,1,238.000
one,368,E,P,2,237.000
one,368,E,P,3,239.000
one,368,E,S,1,238.000
one,368,E,S,2,232.000
one,368,E,S,3,242.000
one,368,P,P,1,260.000
one,368,P,P,2,255.000
one,368,P,P,3,252.000
one,368,P,S,1,254.000
one,368,P,S,2,257.000
one,368,P,S,3,259.000
one,371,B,P,1,211.000
one,371,B,P,2,212.000
one,371,B,P,3,212.000
one,371,B,S,1,207.000
one,371,B,S,2,205.000
one,371,B,S,3,212.000
one,371,E,P,1,220.000
one,371,E,P,2,219.000
one,371,E,P,3,218.000
one,371,E,S,1,225.000
one,371,E,S,2,220.000
one,371,E,S,3,219.000
one,371,P,P,1,245.000
one,371,P,P,2,240.000
one,371,P,P,3,239.000
one,371,P,S,1,233.000
one,371,P,S,2,235.000
one,371,P,S,3,239.000
four,161,B,P,1,188.000
four,161,B,P,2,191.000
four,161,B,P,3,194.000
four,161,B,S,1,189.000
four,161,B,S,2,191.000
four,161,B,S,3,194.000
four,161,E,P,1,179.000
four,161,E,P,2,180.000
four,161,E,P,3,176.000
four,161,E,S,1,169.000
four,161,E,S,2,177.000
four,161,E,S,3,174.000
four,161,P,P,1,180.000
four,161,P,P,2,185.000
four,161,P,P,3,175.000
four,161,P,S,1,184.000
four,161,P,S,2,187.000
four,161,P,S,3,179.000
four,163,B,P,1,191.000
four,163,B,P,2,195.000
four,163,B,P,3,185.000
four,163,B,S,1,193.000
four,163,B,S,2,192.000
four,163,B,S,3,197.000
four,163,E,P,1,217.000
four,163,E,P,2,208.000
four,163,E,P,3,203.000
four,163,E,S,1,209.000
four,163,E,S,2,205.000
four,163,E,S,3,215.000
four,163,P,P,1,206.000
four,163,P,P,2,202.000
four,163,P,P,3,212.000
four,163,P,S,1,216.000
four,163,P,S,2,210.000
four,163,P,S,3,206.000
four,174,B,P,1,196.000
four,174,B,P,2,192.000
four,174,B,P,3,189.000
four,174,B,S,1,197.000
four,174,B,S,2,190.000
four,174,B,S,3,202.000
four,174,E,P,1,218.000
four,174,E,P,2,214.000
four,174,E,P,3,219.000
four,174,E,S,1,207.000
four,174,E,S,2,204.000
four,174,E,S,3,209.000
four,174,P,P,1,178.000
four,174,P,P,2,175.000
four,174,P,P,3,164.000
four,174,P,S,1,171.000
four,174,P,S,2,165.000
four,174,P,S,3,173.000
four,175,B,P,1,213.000
four,175,B,P,2,208.000
four,175,B,P,3,219.000
four,175,B,S,1,211.000
four,175,B,S,2,207.000
four,175,B,S,3,218.000
four,175,E,P,1,232.000
four,175,E,P,2,238.000
four,175,E,P,3,241.000
four,175,E,S,1,233.000
four,175,E,S,2,236.000
four,175,E,S,3,233.000
four,175,P,P,1,221.000
