subject	method	replicate	observation
1	micrometer	1	300
1	micrometer	2	301
1	micrometer	3	296
1	microscope	1	318
1	microscope	2	317
1	microscope	3	322
2	micrometer	1	315
2	micrometer	2	301
2	micrometer	3	304
2	microscope	1	318
2	microscope	2	310
2	microscope	3	312
3	micrometer	1	356
3	micrometer	2	350
3	micrometer	3	350
3	microscope	1	385
3	microscope	2	370
3	microscope	3	380
4	micrometer	1	435
4	micrometer	2	400
4	micrometer	3	421
4	microscope	1	431
4	microscope	2	447
4	microscope	3	447
5	micrometer	1	296
5	micrometer	2	280
5	micrometer	3	270
5	microscope	1	298
5	microscope	2	311
5	microscope	3	316
6	micrometer	1	320
6	micrometer	2	325
6	micrometer	3	310
6	microscope	1	331
6	microscope	2	339
6	microscope	3	305
7	micrometer	1	320
7	micrometer	2	345
7	micrometer	3	310
7	microscope	1	335
7	microscope	2	332
7	microscope	3	331
8	micrometer	1	358
8	micrometer	2	360
8	micrometer	3	359
8	microscope	1	332
8	microscope	2	335
8	microscope	3	324
9	micrometer	1	250
9	micrometer	2	241
9	micrometer	3	241
9	microscope	1	272
9	microscope	2	259
9	microscope	3	276
10	micrometer	1	315
10	micrometer	2	330
10	micrometer	3	329
10	microscope	1	336
10	microscope	2	336
10	microscope	3	352
11	micrometer	1	268
11	micrometer	2	255
11	micrometer	3	270
11	microscope	1	283
11	microscope	2	287
11	microscope	3	275
12	micrometer	1	301
12	micrometer	2	302
12	micrometer	3	300
12	microscope	1	306
12	microscope	2	297
12	microscope	3	291
13	micrometer	1	220
13	micrometer	2	220
13	micrometer	3	200
13	microscope	1	229
13	microscope	2	236
13	microscope	3	244
14	micrometer	1	325
14	micrometer	2	312
14	micrometer	3	310
14	microscope	1	318
14	microscope	2	287
14	microscope	3	289
15	micrometer	1	355
15	micrometer	2	365
15	micrometer	3	353
15	microscope	1	360
15	microscope	2	363
15	microscope	3	371
16	micrometer	1	311
16	micrometer	2	310
16	micrometer	3	302
16	microscope	1	327
16	microscope	2	335
16	microscope	3	337
