subject,repno,method,angle
1,1,electro,2
1,2,electro,1
1,3,electro,1
1,1,manual,-2
1,2,manual,0
1,3,manual,1
2,1,electro,12
2,2,electro,14
2,3,electro,13
2,1,manual,16
2,2,manual,16
2,3,manual,15
3,1,electro,4
3,2,electro,4
3,3,electro,4
3,1,manual,5
3,2,manual,6
3,3,manual,6
4,1,electro,9
4,2,electro,7
4,3,electro,8
4,1,manual,11
4,2,manual,10
4,3,manual,10
5,1,electro,5
5,2,electro,6
5,3,electro,6
5,1,manual,7
5,2,manual,8
5,3,manual,6
6,1,electro,-9
6,2,electro,-10
6,3,electro,-9
6,1,manual,-7
6,2,manual,-8
6,3,manual,-8
7,1,electro,17
7,2,electro,17
7,3,electro,17
7,1,manual,18
7,2,manual,19
7,3,manual,19
8,1,electro,5
8,2,electro,5
8,3,electro,5
8,1,manual,4
8,2,manual,5
8,3,manual,5
9,1,electro,-7
9,2,electro,-6
9,3,electro,-5
9,1,manual,0
9,2,manual,-3
9,3,manual,-2
10,1,electro,1
10,2,electro,2
10,3,electro,1
10,1,manual,0
10,2,manual,0
10,3,manual,-2
11,1,electro,-4
11,2,electro,-3
11,3,electro,-3
11,1,manual,-3
11,2,manual,-2
11,3,manual,-2
12,1,electro,-1
12,2,electro,-2
12,3,electro,1
12,1,manual,3
12,2,manual,-1
12,3,manual,1
13,1,electro,4
13,2,electro,4
13,3,electro,2
13,1,manual,7
13,2,manual,9
13,3,manual,9
14,1,electro,-8
14,2,electro,-10
14,3,electro,-9
14,1,manual,-6
14,2,manual,-7
14,3,manual,-6
15,1,electro,-2
15,2,electro,-2
15,3,electro,-3
15,1,manual,1
15,2,manual,1
15,3,manual,0
16,1,electro,-12
16,2,electro,-12
16,3,electro,-12
16,1,manual,-13
16,2,manual,-14
16,3,manual,-14
17,1,electro,-1
17,2,electro,0
17,3,electro,0
17,1,manual,2
17,2,manual,1
17,3,manual,0
18,1,electro,7
18,2,electro,6
18,3,electro,4
18,1,manual,4
18,2,manual,4
18,3,manual,3
19,1,electro,-10
19,2,electro,-11
19,3,electro,-10
19,1,manual,-10
19,2,manual,-9
19,3,manual,-10
20,1,electro,2
20,2,electro,8
20,3,electro,8
20,1,manual,8
20,2,manual,9
20,3,manual,8
21,1,electro,8
21,2,electro,7
21,3,electro,7
21,1,manual,7
21,2,manual,6
21,3,manual,7
22,1,electro,-5
22,2,electro,-5
22,3,electro,-5
22,1,manual,-3
22,2,manual,-2
22,3,manual,-4
23,1,electro,-6
23,2,electro,-8
23,3,electro,-7
23,1,manual,-5
23,2,manual,-5
23,3,manual,-7
24,1,electro,3
24,2,electro,4
24,3,electro,4
24,1,manual,5
24,2,manual,5
24,3,manual,5
25,1,electro,-4
25,2,electro,-3
25,3,electro,-4
25,1,manual,0
25,2,manual,-1
25,3,manual,-1
26,1,electro,4
26,2,electro,4
26,3,electro,4
26,1,manual,7
26,2,manual,6
26,3,manual,6
27,1,electro,-10
27,2,electro,-11
27,3,electro,-10
27,1,manual,-8
27,2,manual,-8
27,3,manual,-8
28,1,electro,1
28,2,electro,-1
28,3,electro,0
28,1,manual,1
28,2,manual,1
28,3,manual,2
29,1,electro,-5
29,2,electro,-4
29,3,electro,-5
29,1,manual,-3
29,2,manual,-3
29,3,manual,-3
