laxis	saxis
1.39	1.44
1.07	1.33
1.18	1.19
1.38	1.33
1.25	1.34
1.34	1.16
1.39	1.14
1.43	1.36
1.47	1.25
0.43	0.46
1.08	0.92
1.47	1.53
1.16	1.4
1.43	1.08
1.03	1
1.31	1.27
1.45	1.27
1.31	1.46
1.47	1.42
1.54	1.42
1.35	1.09
1.03	1.09
0.78	0.78
1	1.46
0.92	0.94
1.06	1.09
1.27	1.07
1.73	1.85
1.34	1.55
0.78	0.7
1.14	1.22
1.3	1.08
1.32	1.4
0.78	0.86
1.46	1.43
1.33	1.17
1.11	1.11
1.48	1.55
1.18	1.29
1.5	1.5
1.43	1.56
1.42	1.36
1.54	1.59
1.43	1.44
0.9	0.8
1	1.2
1.42	1.49
1.1	1.2
1.2	1.41
2.1	1.5
1.18	1.18
0.81	0.81
1.29	1.16
1.2	1.32
1.18	1.15
0.59	0.55
1.1	1.12
1.12	1.23
1.5	1.56
1.2	1.29
1.1	1.06
1.26	1.17
0.93	1
1	0.99
1.01	0.94
1.23	1.18
1.06	1.18
1.19	1.59
0.96	1.02
0.96	0.81
1.29	1.44
1.09	1.01
0.94	1.09
1.05	1
1.23	1.12
1.04	0.97
1.39	1.24
1.16	1.13
1.05	1.08
0.95	0.89
1.13	1.13
1.42	1.89
1.22	1.09
0.8	0.76
1.43	1.23
1.26	1.19
1.06	1.08
1.42	1.43
1.29	1.29
1.37	1.09
1.25	1.06
1.13	1.25
1.37	1.37
1.37	1.3
1.36	1.29
1.47	1.43
1.59	1.47
1.02	1.06
1.9	1.82
1.11	1.09
